date,track,rank,stock_id,name,主力淨額,預估賣壓%,全市場黑名單,本檔黑名單
2026-07-22,波段T11,1,2542,興富發,,,,
2026-07-22,波段T11,2,5871,中租-KY,,,,
2026-07-22,波段T11,3,2887,台新新光金,,,,
2026-07-22,波段T11,4,3665,貿聯-KY,,,,
2026-07-22,波段T11,5,2880,華南金,,,,
2026-07-22,波段T11,6,2637,慧洋-KY,,,,
2026-07-22,波段T11,7,2801,彰銀,,,,
2026-07-22,波段T11,8,1216,統一,,,,
2026-07-22,波段T11,9,2912,統一超,,,,
2026-07-22,波段T11,10,3163,波若威,,,,
2026-07-22,波段T11,11,2059,川湖,,,,
2026-07-22,波段T11,12,1590,亞德客-KY,,,,
2026-07-22,波段T11,13,2892,第一金,,,,
2026-07-22,波段T11,14,2886,兆豐金,,,,
2026-07-22,波段T11,15,2474,可成,,,,
2026-07-22,波段T16,1,3374,精材,,,,
2026-07-22,波段T16,2,3685,元創精密,,,,
2026-07-22,波段T16,3,2434,統懋,,,,
2026-07-22,波段T16,4,3577,泓格,,,,
2026-07-22,波段T16,5,6243,迅杰,,,,
2026-07-22,波段T16,6,4939,亞電,,,,
2026-07-22,波段T16,7,6598,ABC-KY,,,,
2026-07-22,波段T16,8,4534,慶騰,,,,
2026-07-22,波段T16,9,6533,晶心科,,,,
2026-07-22,波段T16,10,6414,樺漢,,,,
2026-07-22,波段T16,11,3576,聯合再生,,,,
2026-07-22,波段T16,12,2466,冠西電,,,,
2026-07-22,波段T16,13,1467,南緯,,,,
2026-07-22,波段T16,14,2527,宏璟,,,,
2026-07-22,波段T16,15,6141,柏承,,,,
2026-07-22,當沖,1,4939,亞電,,,,
2026-07-22,當沖,2,8150,南茂,,,,
2026-07-22,當沖,3,6182,合晶,,,,
2026-07-22,當沖,4,2634,漢翔,,,,
2026-07-22,當沖,5,4541,晟田,,,,
2026-07-22,當沖,6,5328,華容,,,,
2026-07-22,當沖,7,2332,友訊,,,,
2026-07-22,當沖,8,1303,南亞,,,,
2026-07-22,當沖,9,2409,友達,,,,
2026-07-22,當沖,10,5371,中光電,,,,
2026-07-22,當沖,11,2484,希華,,,,
2026-07-22,當沖,12,3532,台勝科,,,,
2026-07-22,當沖,13,2327,國巨*,,,,
2026-07-22,當沖,14,1810,和成,,,,
2026-07-22,當沖,15,6213,聯茂,,,,
2026-07-23,波段T11,1,2542,興富發,,,,
2026-07-23,波段T11,2,5871,中租-KY,,,,
2026-07-23,波段T11,3,2880,華南金,,,,
2026-07-23,波段T11,4,2887,台新新光金,,,,
2026-07-23,波段T11,5,2801,彰銀,,,,
2026-07-23,波段T11,6,1216,統一,,,,
2026-07-23,波段T11,7,2912,統一超,,,,
2026-07-23,波段T11,8,8155,博智,,,,
2026-07-23,波段T11,9,2892,第一金,,,,
2026-07-23,波段T11,10,1590,亞德客-KY,,,,
2026-07-23,波段T11,11,8046,南電,,,,
2026-07-23,波段T11,12,5490,同亨,,,,
2026-07-23,波段T11,13,2637,慧洋-KY,,,,
2026-07-23,波段T11,14,2474,可成,,,,
2026-07-23,波段T11,15,2886,兆豐金,,,,
2026-07-23,波段T16,1,1810,和成,,,,
2026-07-23,波段T16,2,6414,樺漢,,,,
2026-07-23,波段T16,3,3577,泓格,,,,
2026-07-23,波段T16,4,8383,千附,,,,
2026-07-23,波段T16,5,6598,ABC-KY,,,,
2026-07-23,波段T16,6,4513,福裕,,,,
2026-07-23,波段T16,7,4939,亞電,,,,
2026-07-23,波段T16,8,3665,貿聯-KY,,,,
2026-07-23,波段T16,9,1467,南緯,,,,
2026-07-23,波段T16,10,3685,元創精密,,,,
2026-07-23,波段T16,11,1301,台塑,,,,
2026-07-23,波段T16,12,6243,迅杰,,,,
2026-07-23,波段T16,13,3231,緯創,,,,
2026-07-23,波段T16,14,1326,台化,,,,
2026-07-23,波段T16,15,4534,慶騰,,,,
2026-07-23,當沖,1,4939,亞電,,,,
2026-07-23,當沖,2,6182,合晶,,,,
2026-07-23,當沖,3,8150,南茂,,,,
2026-07-23,當沖,4,1303,南亞,,,,
2026-07-23,當沖,5,5328,華容,,,,
2026-07-23,當沖,6,3532,台勝科,,,,
2026-07-23,當沖,7,4991,環宇-KY,,,,
2026-07-23,當沖,8,2332,友訊,,,,
2026-07-23,當沖,9,5371,中光電,,,,
2026-07-23,當沖,10,2484,希華,,,,
2026-07-23,當沖,11,1326,台化,,,,
2026-07-23,當沖,12,6213,聯茂,,,,
2026-07-23,當沖,13,4541,晟田,,,,
2026-07-23,當沖,14,2409,友達,,,,
2026-07-23,當沖,15,2478,大毅,,,,
2026-07-24,波段T11,1,6121,新普,,,,
2026-07-24,波段T11,2,2542,興富發,,,,
2026-07-24,波段T11,3,5871,中租-KY,,,,
2026-07-24,波段T11,4,2880,華南金,,,,
2026-07-24,波段T11,5,2912,統一超,,,,
2026-07-24,波段T11,6,2801,彰銀,,,,
2026-07-24,波段T11,7,1216,統一,,,,
2026-07-24,波段T11,8,2892,第一金,,,,
2026-07-24,波段T11,9,1590,亞德客-KY,,,,
2026-07-24,波段T11,10,2637,慧洋-KY,,,,
2026-07-24,波段T11,11,2474,可成,,,,
2026-07-24,波段T11,12,2395,研華,,,,
2026-07-24,波段T11,13,3653,健策,,,,
2026-07-24,波段T11,14,2890,永豐金,,,,
2026-07-24,波段T11,15,3706,神達,,,,
2026-07-24,波段T16,1,5227,立凱-KY,,,,
2026-07-24,波段T16,2,6414,樺漢,,,,
2026-07-24,波段T16,3,3231,緯創,,,,
2026-07-24,波段T16,4,6166,凌華,,,,
2026-07-24,波段T16,5,8111,立碁,,,,
2026-07-24,波段T16,6,3685,元創精密,,,,
2026-07-24,波段T16,7,1467,南緯,,,,
2026-07-24,波段T16,8,3665,貿聯-KY,,,,
2026-07-24,波段T16,9,8383,千附,,,,
2026-07-24,波段T16,10,4534,慶騰,,,,
2026-07-24,波段T16,11,8271,宇瞻,,,,
2026-07-24,波段T16,12,6669,緯穎,,,,
2026-07-24,波段T16,13,8114,振樺電,,,,
2026-07-24,波段T16,14,3669,圓展,,,,
2026-07-24,波段T16,15,1325,恆大,,,,
2026-07-24,當沖,1,4541,晟田,,,,
2026-07-24,當沖,2,6182,合晶,,,,
2026-07-24,當沖,3,3450,聯鈞,,,,
2026-07-24,當沖,4,8150,南茂,,,,
2026-07-24,當沖,5,4979,華星光,,,,
2026-07-24,當沖,6,5371,中光電,,,,
2026-07-24,當沖,7,1303,南亞,,,,
2026-07-24,當沖,8,4939,亞電,,,,
2026-07-24,當沖,9,5328,華容,,,,
2026-07-24,當沖,10,2634,漢翔,,,,
2026-07-24,當沖,11,2484,希華,,,,
2026-07-24,當沖,12,2332,友訊,,,,
2026-07-24,當沖,13,6213,聯茂,,,,
2026-07-24,當沖,14,6505,台塑化,,,,
2026-07-24,當沖,15,4991,環宇-KY,,,,
2026-07-26,波段T11,1,6121,新普,,,,
2026-07-26,波段T11,2,2542,興富發,,,,
2026-07-26,波段T11,3,5871,中租-KY,,,,
2026-07-26,波段T11,4,2880,華南金,,,,
2026-07-26,波段T11,5,2912,統一超,,,,
2026-07-26,波段T11,6,2801,彰銀,,,,
2026-07-26,波段T11,7,1216,統一,,,,
2026-07-26,波段T11,8,2892,第一金,,,,
2026-07-26,波段T11,9,1590,亞德客-KY,,,,
2026-07-26,波段T11,10,2637,慧洋-KY,,,,
2026-07-26,波段T11,11,2474,可成,,,,
2026-07-26,波段T11,12,2395,研華,,,,
2026-07-26,波段T11,13,3653,健策,,,,
2026-07-26,波段T11,14,2890,永豐金,,,,
2026-07-26,波段T11,15,3706,神達,,,,
2026-07-26,波段T16,1,5227,立凱-KY,,,,
2026-07-26,波段T16,2,6414,樺漢,,,,
2026-07-26,波段T16,3,3231,緯創,,,,
2026-07-26,波段T16,4,6166,凌華,,,,
2026-07-26,波段T16,5,8111,立碁,,,,
2026-07-26,波段T16,6,3685,元創精密,,,,
2026-07-26,波段T16,7,1467,南緯,,,,
2026-07-26,波段T16,8,3665,貿聯-KY,,,,
2026-07-26,波段T16,9,8383,千附,,,,
2026-07-26,波段T16,10,4534,慶騰,,,,
2026-07-26,波段T16,11,8271,宇瞻,,,,
2026-07-26,波段T16,12,6669,緯穎,,,,
2026-07-26,波段T16,13,8114,振樺電,,,,
2026-07-26,波段T16,14,3669,圓展,,,,
2026-07-26,波段T16,15,1325,恆大,,,,
2026-07-26,當沖,1,4541,晟田,,,,
2026-07-26,當沖,2,6182,合晶,,,,
2026-07-26,當沖,3,3450,聯鈞,,,,
2026-07-26,當沖,4,8150,南茂,,,,
2026-07-26,當沖,5,4979,華星光,,,,
2026-07-26,當沖,6,5371,中光電,,,,
2026-07-26,當沖,7,1303,南亞,,,,
2026-07-26,當沖,8,4939,亞電,,,,
2026-07-26,當沖,9,5328,華容,,,,
2026-07-26,當沖,10,2634,漢翔,,,,
2026-07-26,當沖,11,2484,希華,,,,
2026-07-26,當沖,12,2332,友訊,,,,
2026-07-26,當沖,13,6213,聯茂,,,,
2026-07-26,當沖,14,6505,台塑化,,,,
2026-07-26,當沖,15,4991,環宇-KY,,,,
2026-07-27,波段T11,1,6121,新普,,,,
2026-07-27,波段T11,2,2542,興富發,,,,
2026-07-27,波段T11,3,2880,華南金,,,,
2026-07-27,波段T11,4,5871,中租-KY,,,,
2026-07-27,波段T11,5,2912,統一超,,,,
2026-07-27,波段T11,6,2801,彰銀,,,,
2026-07-27,波段T11,7,1216,統一,,,,
2026-07-27,波段T11,8,1590,亞德客-KY,,,,
2026-07-27,波段T11,9,2474,可成,,,,
2026-07-27,波段T11,10,2892,第一金,,,,
2026-07-27,波段T11,11,2637,慧洋-KY,,,,
2026-07-27,波段T11,12,2395,研華,,,,
2026-07-27,波段T11,13,2886,兆豐金,,,,
2026-07-27,波段T11,14,2890,永豐金,,,,
2026-07-27,波段T11,15,2376,技嘉,,,,
2026-07-27,波段T16,1,6598,ABC-KY,,,,
2026-07-27,波段T16,2,8271,宇瞻,,,,
